latitude,longitude
32.68,109.01722
30.51365,117.04723
41.12361,122.99
26.25,105.93333
36.096,114.38278
45.60746,122.82076
23.90115,106.61897
41.93853,126.41965
36.54696,104.17023
38.85111,115.49028
34.3663,107.152788
25.12107,99.16579
40.65222,109.82222
40.76645,107.38683
31.85131,106.76897
21.48333,109.1
39.9075,116.39723
32.94083,117.36083
41.28861,123.765
27.30193,105.28627
37.36667,118.01667
33.87722,115.77028
38.31667,116.86667
43.88,125.32278
29.04638,111.6783
44.00782,87.30461
28.255,112.986
36.18389,113.10528
31.77359,119.95401
41.57028,120.45861
23.65396,116.62262
40.9519,117.95883
30.66667,104.06667
25.8,113.03333
42.26833,118.96361
30.66134,117.47783
29.56278,106.55278
22.40566,107.35325
32.32194,118.29778
25.58474,100.21229
38.91222,121.60222
40.12917,124.39472
19.52093,109.58069
46.58333,125
40.1189,113.3049
31.21592,107.50092
37.376,97.37457
31.13019,104.38198
37.45127,116.31046
35.57934,104.61093
23.01797,113.74866
37.44878,118.58215
26.26667,107.51667
30.3,109.48333
30.4,114.83333
21.76913,108.35342
23.02677,113.13148
41.88669,123.94363
42.01556,121.65889
32.9,115.81667
26.06139,119.30611
27.9199,116.3537
25.84664,114.9326
30.47413,106.63696
32.44201,105.823
23.11667,113.25
23.09639,109.60917
25.28194,110.28639
26.58333,106.71667
36.004562,106.28524
36.48209,102.40173
20.04583,110.34167
42.83393,93.50601
36.60056,114.46778
30.29365,120.16142
33.07507,107.02214
45.75,126.65
35.7597,114.2742
24.6929,108.0852
31.86389,117.28083
47.35118,130.30012
50.24413,127.49016
37.73222,115.70111
26.88946,112.61888
23.73333,114.68333
35.23929,115.47358
24.41175,111.55197
40.81056,111.65222
22.27534,114.16546
33.64883,119.033
33.97444,116.79167
27.56337,110.00404
32.62639,116.99694
30.4859,114.9441
29.71139,118.3125
30.24706,115.04814
23.11147,114.41523
40.75243,120.83552
49.21336,119.73572
30.8703,120.0933
46.79927,130.31633
27.11716,114.97927
22.58333,113.08333
35.23972,113.23306
30.7522,120.75
39.81121,98.28618
23.5418,116.36581
43.85083,126.56028
36.66833,116.99722
38.50062,102.19379
35.50222,112.83278
29.2947,117.20789
21.99102,100.73409
31.03361,112.20472
30.35028,112.19028
29.10678,119.64421
35.4082,116.59649
37.69978,112.70746
41.10778,121.14167
29.70475,116.00206
39.74318,98.51736
45.30109,130.95718
34.7986,114.30742
30.00222,101.9569
22.630576,120.306839
45.58473,84.88724
41.76055,86.15231
25.03889,102.71833
23.7,109.26667
39.50972,116.69472
36.05701,103.83987
29.56227,103.76386
29.65,91.1
34.6087,119.1633
36.45596,115.97766
41.27194,123.17306
42.90361,125.13583
26.86879,100.22072
23.89516,100.08233
36.08889,111.51889
35.06306,118.34278
28.46042,119.91029
26.59444,104.83333
24.33941,109.44626
33.39189,104.92667
25.10722,117.0225
27.73444,111.99444
31.73561,116.51688
37.51761,111.15081
33.56394,114.04272
34.6857,112.4361
28.8903,105.42575
31.7079,118.5
22.19875,113.54913
21.65,110.9
30.04222,103.832377
24.28859,116.11768
23.374,103.4308
31.46784,104.68168
44.58333,129.6
31.47678,92.05729
28.68396,115.85306
30.79508,106.08473
32.06167,118.77778
22.81667,108.31667
27.4737,118.0936
32.03028,120.87472
32.99472,112.53278
29.58354,105.06216
29.87819,121.54945
26.66167,119.52278
29.63654,94.36119
39.6086,109.78157
41.00247,122.08245
26.58509,101.71276
33.73847,113.30119
35.53917,106.68611
27.61672,113.85353
22.78684,100.97692
25.43944,119.01028
35.7411,115.02436
31.1304,97.17982
36.06488,120.38042
35.6938,107.6281
23.7,113.03333
39.93167,119.58833
21.97296,108.62612
47.34088,123.96045
45.78487,131.06693
24.91389,118.58583
25.48333,103.78333
28.95944,118.86861
35.4275,119.45528
34.77141,111.18747
26.24861,117.61861
16.83387,112.33435
18.24306,109.505
31.22222,121.45806
33.86273,109.94107
34.45,115.65
28.45179,117.94287
27.82511,99.70779
29.22484,91.76141
23.36814,116.71479
22.78199,115.3475
24.8,113.58333
30.00237,120.57864
27.24566,111.45207
41.79222,123.43278
22.55653,113.9859
38.04139,114.47861
32.6475,110.77806
39.23333,106.76944
46.63611,131.15389
39.31583,112.4225
43.16143,124.37785
45.12902,124.82769
46.63954,126.99508
30.50802,105.57332
31.71111,113.36306
33.96271,118.24239
31.30227,120.63132
33.63611,116.97889
